Date,High,Low,Open,Close,Volume,Adj Close
2017-02-10,2.7699999809265137,2.5999999046325684,2.6500000953674316,2.700000047683716,14200.0,2.700000047683716
2017-02-13,3.0,2.619999885559082,2.890000104904175,3.0,50700.0,3.0
2017-02-14,2.880000114440918,2.5299999713897705,2.8499999046325684,2.7300000190734863,12600.0,2.7300000190734863
2017-02-15,2.859999895095825,2.759999990463257,2.809999942779541,2.7799999713897705,24300.0,2.7799999713897705
2017-02-17,3.0,2.809999942779541,2.9800000190734863,2.950000047683716,17600.0,2.950000047683716
2017-02-21,3.0,2.809999942779541,2.9000000953674316,3.0,6300.0,3.0
2017-02-22,3.0,2.809999942779541,2.9800000190734863,3.0,23700.0,3.0
2017-02-23,2.990000009536743,2.809999942779541,2.9000000953674316,2.940000057220459,19900.0,2.940000057220459
2017-02-24,2.930000066757202,2.7300000190734863,2.809999942779541,2.8299999237060547,14700.0,2.8299999237060547
2017-02-27,3.0,2.7799999713897705,2.940000057220459,3.0,3300.0,3.0
2017-02-28,3.0,2.7899999618530273,3.0,3.0,6200.0,3.0
2017-03-01,2.990000009536743,2.7200000286102295,2.990000009536743,2.869999885559082,11500.0,2.869999885559082
2017-03-02,3.0,2.7699999809265137,2.950000047683716,2.930000066757202,17100.0,2.930000066757202
2017-03-03,3.0,2.819999933242798,2.9700000286102295,2.950000047683716,8800.0,2.950000047683716
2017-03-06,3.0,2.8499999046325684,2.9000000953674316,3.0,10000.0,3.0
2017-03-07,3.0999999046325684,2.9800000190734863,2.9800000190734863,3.0999999046325684,42900.0,3.0999999046325684
2017-03-08,3.0999999046325684,2.9200000762939453,3.0999999046325684,3.0,18100.0,3.0
2017-03-09,2.990000009536743,2.9100000858306885,2.990000009536743,2.9800000190734863,18300.0,2.9800000190734863
2017-03-10,2.9000000953674316,2.869999885559082,2.869999885559082,2.9000000953674316,9600.0,2.9000000953674316
2017-03-13,3.140000104904175,2.819999933242798,2.819999933242798,3.140000104904175,41000.0,3.140000104904175
